date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:29:50	20317/20317	---M--	200	added ('OK')	image/jpeg	etag:%224f5d-61aef5df-77ba7fba6cd3f611;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/blog-5.jpg	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/blog-5.jpg	(from http://zairito-html.zainiktheme.com/demo/blog.html)
22:29:51	93361/93361	---M--	200	added ('OK')	image/png	etag:%2216cb1-61aef5df-976baacc8d30ba1a;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/aboutus-image.png	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/aboutus-image.png	(from http://zairito-html.zainiktheme.com/demo/about-us.html)
22:29:51	155502/155502	---M--	200	added ('OK')	image/png	etag:%2225f6e-61aef5e0-e7a8fe32d85f5243;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/service-image.png	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/service-image.png	(from http://zairito-html.zainiktheme.com/demo/assets/css/style.css)
22:29:52	16729/16729	---M--	200	added ('OK')	image/jpeg	etag:%224159-61aef5df-5482a6fe9b3d29cc;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/blog-6.jpg	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/blog-6.jpg	(from http://zairito-html.zainiktheme.com/demo/blog.html)
22:29:52	229/229	---M--	200	added ('OK')	image/svg+xml	etag:%22e5-61aef5df-626f7e6cb0ec9813;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/close.svg	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/close.svg	(from http://zairito-html.zainiktheme.com/demo/wish-list.html)
22:30:45	1398/1398	---M--	200	added ('OK')	image/png	etag:%22576-61aef5e0-20cb24535b108c3e;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/zairito-home-two.png	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/zairito-home-two.png	(from http://zairito-html.zainiktheme.com/demo/index2.html)
22:30:46	204814/204814	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223200e-61aef5df-b7873176800f2c50;;;%22	http://zairito-html.zainiktheme.com/demo/assets/fonts/fa-solid-900.eot?	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/fonts/fa-solid-900d41d.eot	(from http://zairito-html.zainiktheme.com/demo/assets/css/plugins.css)
22:30:57	89429/89429	---M--	200	added ('OK')	image/png	etag:%2215d55-61aef5df-2c0bbf19e9ea947e;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/hero-slider-v2-image.png	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/hero-slider-v2-image.png	(from http://zairito-html.zainiktheme.com/demo/index2.html)
22:30:58	2049/2049	---M--	200	added ('OK')	image/png	etag:%22801-61aef5df-66ea9a4b15563d0a;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/line-shape-one.png	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/line-shape-one.png	(from http://zairito-html.zainiktheme.com/demo/index2.html)
22:30:59	2354/2354	---M--	200	added ('OK')	image/png	etag:%22932-61aef5df-bd6acd0a2efd4348;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/line-shape-two.png	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/line-shape-two.png	(from http://zairito-html.zainiktheme.com/demo/index2.html)
22:31:08	50820/50820	---M--	200	added ('OK')	image/png	etag:%22c684-61aef5e0-c1bf58b807589df0;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/offer-image.png	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/offer-image.png	(from http://zairito-html.zainiktheme.com/demo/index2.html)
22:31:09	168886/168886	---M--	200	added ('OK')	image/png	etag:%22293b6-61aef5df-53c08bde989e1bef;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/home-two-product-image-1.png	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/home-two-product-image-1.png	(from http://zairito-html.zainiktheme.com/demo/index2.html)
22:31:17	196516/196516	---M--	200	added ('OK')	image/png	etag:%222ffa4-61aef5df-1610a993153819f2;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/home-two-product-image-2.png	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/home-two-product-image-2.png	(from http://zairito-html.zainiktheme.com/demo/index2.html)
22:31:18	56989/56989	---M--	200	added ('OK')	image/png	etag:%22de9d-61aef5df-3ca0a5c24e9cfbcc;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/home-two-product-image-4.png	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/home-two-product-image-4.png	(from http://zairito-html.zainiktheme.com/demo/index2.html)
22:31:19	57274/57274	---M--	200	added ('OK')	image/png	etag:%22dfba-61aef5df-d95bccd0baa6e9eb;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/home-two-product-image-5.png	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/home-two-product-image-5.png	(from http://zairito-html.zainiktheme.com/demo/index2.html)
22:31:21	190926/190926	---M--	200	added ('OK')	image/png	etag:%222e9ce-61aef5df-6c7c509505b58d3;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/home-two-product-image-3.png	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/home-two-product-image-3.png	(from http://zairito-html.zainiktheme.com/demo/index2.html)
22:31:21	11991/11991	---M--	200	added ('OK')	image/png	etag:%222ed7-61aef5e0-1fc03fd6b54e1a48;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/testimonial-v2-image-1.png	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/testimonial-v2-image-1.png	(from http://zairito-html.zainiktheme.com/demo/index2.html)
22:31:22	11437/11437	---M--	200	added ('OK')	image/png	etag:%222cad-61aef5e0-753d4a8a36f00989;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/testimonial-v2-image-2.png	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/testimonial-v2-image-2.png	(from http://zairito-html.zainiktheme.com/demo/index2.html)
22:31:23	60540/60540	---M--	200	added ('OK')	image/png	etag:%22ec7c-61aef5df-db1ad0243c2b51f4;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/home-two-product-image-6.png	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/home-two-product-image-6.png	(from http://zairito-html.zainiktheme.com/demo/index2.html)
22:31:26	37051/37051	---M--	200	added ('OK')	image/jpeg	etag:%2290bb-61aef5df-778ae06d30c2280f;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/home-2-gallery-2.jpg	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/home-2-gallery-2.jpg	(from http://zairito-html.zainiktheme.com/demo/index2.html)
22:31:26	21506/21506	---M--	200	added ('OK')	image/jpeg	etag:%225402-61aef5df-fd0edfa50361bf22;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/home-2-gallery-3.jpg	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/home-2-gallery-3.jpg	(from http://zairito-html.zainiktheme.com/demo/index2.html)
